dataset,seed,rare_train_size,rare_class,split_mode,run_dir,status,error,separability,n_train,n_validation,n_train_rare,n_labeled_total,n_labeled_rare,expected_labeled_rare,labeled_mask_source,val_missed,abstain,abstain_reason,chosen_rank,tau,raw_candidates,raw_candidate_true_rare,raw_candidate_nonrare,historical_comparison_available,historical_comparison_match,reconstruction_basis,n_test,true_rare,true_nonrare,baseline_missed_rare,true_rescues,false_rescues,all_rescues,remaining_missed_rare,recovery_rate,rescue_precision,rescue_fdp,incremental_fpr,rescue_ffr
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,success,,2.1125757445434328,11291,5862,277,11019,5,5,train_predictions.is_labeled_for_scanvi,115.0,False,rescue_applied,1.0,0.10510290735292942,110.0,107.0,3.0,True,True,current_formal_replay,6134,130,6004,130,107,0,107,23,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,success,,2.137647998234371,11291,5862,277,11027,13,13,train_predictions.is_labeled_for_scanvi,29.0,False,rescue_applied,1.0,0.147355569901507,25.0,23.0,2.0,True,True,current_formal_replay,6134,130,6004,36,23,1,24,13,0.6388888888888888,0.9583333333333334,0.041666666666666664,0.00016655562958027982,0.00016655562958027982
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,success,,2.1041139056895917,11291,5862,277,11041,27,27,train_predictions.is_labeled_for_scanvi,24.0,False,rescue_applied,1.0,0.13499912823538188,14.0,12.0,2.0,True,True,current_formal_replay,6134,130,6004,27,12,2,14,15,0.4444444444444444,0.8571428571428571,0.14285714285714285,0.00033311125916055963,0.00033311125916055963
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,success,,1.762226411576769,11291,5862,277,11291,277,277,train_predictions.is_labeled_for_scanvi,11.0,False,rescue_applied,1.0,0.16212077772999428,5.0,4.0,1.0,True,True,current_formal_replay,6134,130,6004,13,4,1,5,9,0.3076923076923077,0.8,0.2,0.00016655562958027982,0.00016655562958027982
immune_dc,43,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare1pct,success,,2.4436483952184123,11291,5862,277,11019,5,5,train_predictions.is_labeled_for_scanvi,115.0,False,rescue_applied,1.0,0.07444678346541897,115.0,114.0,1.0,True,True,current_formal_replay,6134,130,6004,130,114,1,115,16,0.8769230769230769,0.991304347826087,0.008695652173913044,0.00016655562958027982,0.00016655562958027982
immune_dc,43,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare5pct,success,,1.9467985683615165,11291,5862,277,11027,13,13,train_predictions.is_labeled_for_scanvi,21.0,False,rescue_applied,1.0,0.11493893795019516,14.0,12.0,2.0,True,True,current_formal_replay,6134,130,6004,25,12,2,14,13,0.48,0.8571428571428571,0.14285714285714285,0.00033311125916055963,0.00033311125916055963
immune_dc,43,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare10pct,success,,1.7471778231641841,11291,5862,277,11041,27,27,train_predictions.is_labeled_for_scanvi,13.0,False,rescue_applied,1.0,0.17841804464827227,10.0,8.0,2.0,True,True,current_formal_replay,6134,130,6004,17,8,2,10,9,0.47058823529411764,0.8,0.2,0.00033311125916055963,0.00033311125916055963
immune_dc,43,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rareall,success,,1.9373731002060308,11291,5862,277,11291,277,277,train_predictions.is_labeled_for_scanvi,8.0,False,rescue_applied,1.0,0.15638695527776061,2.0,2.0,0.0,True,True,current_formal_replay,6134,130,6004,11,2,0,2,9,0.18181818181818182,1.0,0.0,0.0,0.0
immune_dc,44,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare1pct,success,,2.7582922544892616,11291,5862,277,11019,5,5,train_predictions.is_labeled_for_scanvi,114.0,False,rescue_applied,1.0,0.08856059306166876,117.0,117.0,0.0,True,True,current_formal_replay,6134,130,6004,130,117,0,117,13,0.9,1.0,0.0,0.0,0.0
immune_dc,44,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare5pct,success,,1.6314302225629382,11291,5862,277,11027,13,13,train_predictions.is_labeled_for_scanvi,24.0,False,rescue_applied,1.0,0.12873657042613385,22.0,17.0,5.0,True,True,current_formal_replay,6134,130,6004,27,17,5,22,10,0.6296296296296297,0.7727272727272727,0.22727272727272727,0.0008327781479013991,0.0008327781479013991
