dataset,seed,rare_train_size,status,separability,val_missed,abstain,reason,chosen_rank,tau,n_candidate,n_rescued
immune_dc,42,0.01,ok,2.1125757445434328,115.0,False,,1,0.10510290735292942,110,107
immune_dc,42,0.05,ok,2.137647998234371,29.0,False,,1,0.147355569901507,25,24
immune_dc,42,0.10,ok,2.1041139056895917,24.0,False,,1,0.13499912823538188,14,14
immune_dc,42,all,ok,1.762226411576769,11.0,False,,1,0.16212077772999428,5,5
immune_dc,43,0.01,ok,2.4436483952184123,115.0,False,,1,0.07444678346541897,115,115
immune_dc,43,0.05,ok,1.9467985683615165,21.0,False,,1,0.11493893795019516,14,14
immune_dc,43,0.10,ok,1.7471778231641841,13.0,False,,1,0.17841804464827227,10,10
immune_dc,43,all,ok,1.9373731002060308,8.0,False,,1,0.15638695527776061,2,2
immune_dc,44,0.01,ok,2.7582922544892616,114.0,False,,1,0.08856059306166876,117,117
immune_dc,44,0.05,ok,1.6314302225629382,24.0,False,,1,0.12873657042613385,22,22
immune_dc,44,0.10,ok,1.9126686449948958,21.0,False,,1,0.13975317717367453,15,15
immune_dc,44,all,ok,1.8291981444218912,8.0,False,,1,0.1680048092773557,8,8
pancreas_baron,42,0.01,ok,1.5213334094991247,58.0,False,,2,0.09526462817763968,78,70
pancreas_baron,42,0.05,ok,1.5213334094991247,58.0,False,,2,0.09526462817763968,78,70
pancreas_baron,42,0.10,ok,1.4421529708491374,29.0,False,,1,0.10301659085062248,8,8
pancreas_baron,42,all,ok,1.159680349882819,,True,sep<1.3,0,inf,0,0
pancreas_baron,43,0.01,ok,1.1244837226660471,,True,sep<1.3,0,inf,0,0
pancreas_baron,43,0.05,ok,1.1244837226660471,,True,sep<1.3,0,inf,0,0
pancreas_baron,43,0.10,ok,1.5543486264216433,19.0,False,,1,0.09378608122937314,43,19
pancreas_baron,43,all,ok,1.1218329740371191,,True,sep<1.3,0,inf,0,0
pancreas_baron,44,0.01,ok,1.221958717366858,,True,sep<1.3,0,inf,0,0
pancreas_baron,44,0.05,ok,1.221958717366858,,True,sep<1.3,0,inf,0,0
pancreas_baron,44,0.10,ok,1.1240523770949333,,True,sep<1.3,0,inf,0,0
pancreas_baron,44,all,ok,1.0929299673770752,,True,sep<1.3,0,inf,0,0
pancreas_integrated,42,0.01,ok,1.4516007383338212,2.0,True,val_missed=2 < MIN_VAL_MISSED=3,0,inf,0,0
pancreas_integrated,42,0.05,ok,1.5431647800090584,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
pancreas_integrated,42,0.10,ok,1.3409552296871317,0.0,True,val baseline 零漏判稀有,0,inf,0,0
pancreas_integrated,42,all,ok,1.4441964275317618,0.0,True,val baseline 零漏判稀有,0,inf,0,0
pancreas_integrated,43,0.01,ok,2.3225058448785476,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
pancreas_integrated,43,0.05,ok,1.6065062893362476,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
pancreas_integrated,43,0.10,ok,1.3032288969759749,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
pancreas_integrated,43,all,ok,1.4103775221365091,0.0,True,val baseline 零漏判稀有,0,inf,0,0
pancreas_integrated,44,0.01,ok,1.4166589946361952,5.0,False,,1,0.11839036272394325,23,23
pancreas_integrated,44,0.05,ok,1.5340821664253836,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
pancreas_integrated,44,0.10,ok,1.5686109921324445,0.0,True,val baseline 零漏判稀有,0,inf,0,0
pancreas_integrated,44,all,ok,1.36654747640278,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_lung_endo,42,0.01,ok,2.346817408359635,34.0,False,,1,0.10672151205434444,67,67
tabula_lung_endo,42,0.05,ok,1.8789782099699441,10.0,False,,1,0.17689187806042936,36,36
