dataset,seed,rare_train_size,rare_class,split_mode,run_dir,status,error,current_replay_available,historical_cell_identity_available,historical_reconstruction_basis,historical_count_match,separability,n_train,n_validation,n_test,n_train_rare,n_labeled_rare,expected_labeled_rare,closest_competitor_class,scANVI_probability_available,val_missed,abstain,abstain_reason,chosen_rank,tau,current_true_rescues,current_false_rescues,n_baseline_correct_rare,n_true_rescued_rare,n_unrescued_rare,n_non_target,n_closest_competitor
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,success,,True,True,current_formal_replay,True,2.1125757445434328,11291,5862,6134,277,5,5,pDC,True,115.0,False,rescue_applied,1,0.10510290735292942,107,0,0,107,23,6004,1908
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,success,,True,True,current_formal_replay,True,2.137647998234371,11291,5862,6134,277,13,13,HLA-DRhi cDC2,True,29.0,False,rescue_applied,1,0.147355569901507,23,1,94,23,13,6004,1893
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,success,,True,True,current_formal_replay,True,2.1041139056895917,11291,5862,6134,277,27,27,HLA-DRhi cDC2,True,24.0,False,rescue_applied,1,0.13499912823538188,12,2,103,12,15,6004,1893
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,success,,True,True,current_formal_replay,True,1.762226411576769,11291,5862,6134,277,277,277,HLA-DRhi cDC2,True,11.0,False,rescue_applied,1,0.16212077772999428,4,1,117,4,9,6004,1893
immune_dc,43,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare1pct,success,,True,True,current_formal_replay,True,2.4436483952184123,11291,5862,6134,277,5,5,HLA-DRhi cDC2,True,115.0,False,rescue_applied,1,0.07444678346541897,114,1,0,114,16,6004,1893
immune_dc,43,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare5pct,success,,True,True,current_formal_replay,True,1.9467985683615165,11291,5862,6134,277,13,13,HLA-DRhi cDC2,True,21.0,False,rescue_applied,1,0.11493893795019516,12,2,105,12,13,6004,1893
immune_dc,43,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare10pct,success,,True,True,current_formal_replay,True,1.7471778231641841,11291,5862,6134,277,27,27,HLA-DRhi cDC2,True,13.0,False,rescue_applied,1,0.17841804464827227,8,2,113,8,9,6004,1893
immune_dc,43,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rareall,success,,True,True,current_formal_replay,True,1.9373731002060308,11291,5862,6134,277,277,277,HLA-DRhi cDC2,True,8.0,False,rescue_applied,1,0.15638695527776061,2,0,119,2,9,6004,1893
immune_dc,44,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare1pct,success,,True,True,current_formal_replay,True,2.7582922544892616,11291,5862,6134,277,5,5,HLA-DRhi cDC2,True,114.0,False,rescue_applied,1,0.08856059306166876,117,0,0,117,13,6004,1893
immune_dc,44,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare5pct,success,,True,True,current_formal_replay,True,1.6314302225629382,11291,5862,6134,277,13,13,HLA-DRhi cDC2,True,24.0,False,rescue_applied,1,0.12873657042613385,17,5,103,17,10,6004,1893
immune_dc,44,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare10pct,success,,True,True,current_formal_replay,True,1.9126686449948958,11291,5862,6134,277,27,27,HLA-DRhi cDC2,True,21.0,False,rescue_applied,1,0.13975317717367453,10,5,111,10,9,6004,1893
immune_dc,44,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rareall,success,,True,True,current_formal_replay,True,1.8291981444218912,11291,5862,6134,277,277,277,HLA-DRhi cDC2,True,8.0,False,rescue_applied,1,0.1680048092773557,2,6,120,2,8,6004,1893
pancreas_baron,42,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,success,,True,True,current_formal_replay,True,1.5213334094991247,5542,1303,1724,106,5,5,delta,True,58.0,False,rescue_applied,2,0.09526462817763968,54,16,11,54,21,1638,125
pancreas_baron,42,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,success,,True,True,current_formal_replay,True,1.5213334094991247,5542,1303,1724,106,5,5,delta,True,58.0,False,rescue_applied,2,0.09526462817763968,54,16,11,54,21,1638,125
