dataset,rare_class,seed,actual_training_labeled_rare_count,n_nominal_runs,n_distinct_identities,nominal_budgets,identity_hashes,count_collapse,identity_collapse,count_only_collision
immune_dc,ASDC,42,5,1,1,"[""0.01""]","[""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",False,False,False
immune_dc,ASDC,42,13,1,1,"[""0.05""]","[""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",False,False,False
immune_dc,ASDC,42,27,1,1,"[""0.10""]","[""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",False,False,False
immune_dc,ASDC,42,277,1,1,"[""all""]","[""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",False,False,False
immune_dc,ASDC,43,5,1,1,"[""0.01""]","[""89bb86ec80fde8890ddb49fec88b617c0c7eff2be8a03de4dec1fbd3599f92a4""]",False,False,False
immune_dc,ASDC,43,13,1,1,"[""0.05""]","[""99286d1163324ef4c652c166cbd756b54ed98b2ac1675fbbb9c9df3da6a59121""]",False,False,False
immune_dc,ASDC,43,27,1,1,"[""0.10""]","[""d9a0e097f7c7a57bbaa1a2639d9bf3a2523d363d0e170ae2706c727758961ff3""]",False,False,False
immune_dc,ASDC,43,277,1,1,"[""all""]","[""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",False,False,False
immune_dc,ASDC,44,5,1,1,"[""0.01""]","[""647f9aef0a16a5271aa68fdcbd87ef7114d0c633ae2c52d222672fc4f520422d""]",False,False,False
immune_dc,ASDC,44,13,1,1,"[""0.05""]","[""5696716a4814530c25c4e7de54eb50f38b53cf72240955cf3e95715176e90856""]",False,False,False
immune_dc,ASDC,44,27,1,1,"[""0.10""]","[""2a734a05ef09c7f459c2b73c0dddfad9f9c83400af4a5ffdc7a5a1f9d4a27630""]",False,False,False
immune_dc,ASDC,44,277,1,1,"[""all""]","[""e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6""]",False,False,False
pancreas_baron,gamma,42,5,2,1,"[""0.01"",""0.05""]","[""91c14127c42187d198761b2fe29cd7815caf706dfe582cc16f94eb9fc6dd09e4""]",True,True,False
pancreas_baron,gamma,42,10,1,1,"[""0.10""]","[""d86a1cee15778924f072107a50c3bc9a56438d7b40cc313f96966bcc5dbcc3fb""]",False,False,False
pancreas_baron,gamma,42,106,1,1,"[""all""]","[""8dfb4dd19ceaa1ab45feb7c70086bb21ac49cd50b303415151629660f7a9b3af""]",False,False,False
pancreas_baron,gamma,43,5,2,1,"[""0.01"",""0.05""]","[""7af4f6da1c598503afb8841d731c6337f3c7f6846b4ed2f06c452882530ce734""]",True,True,False
pancreas_baron,gamma,43,10,1,1,"[""0.10""]","[""62cf506b31a1c94f259fe893c5db61e271a3566a3da6e7df0bb5fcb1ba7242a8""]",False,False,False
pancreas_baron,gamma,43,106,1,1,"[""all""]","[""8dfb4dd19ceaa1ab45feb7c70086bb21ac49cd50b303415151629660f7a9b3af""]",False,False,False
pancreas_baron,gamma,44,5,2,1,"[""0.01"",""0.05""]","[""cd9e347cb4e0f600448824330abd92487002dfa9c2d43ad805faafe376d9a07e""]",True,True,False
pancreas_baron,gamma,44,10,1,1,"[""0.10""]","[""4babf0fc31ac32cb04880a738a3b9116672ee5a0f675dfd75af2d4fd3306595c""]",False,False,False
pancreas_baron,gamma,44,106,1,1,"[""all""]","[""8dfb4dd19ceaa1ab45feb7c70086bb21ac49cd50b303415151629660f7a9b3af""]",False,False,False
pancreas_integrated,endothelial,42,5,1,1,"[""0.01""]","[""03277edf821b344e8b2f0ef53c88affce67c77df8a090c9ac5294c31c4f18080""]",False,False,False
pancreas_integrated,endothelial,42,12,1,1,"[""0.05""]","[""c3df48297ac9ad0cff1f1b7e7d96ffc01c33f538d4e1b1bd3596760bf47850a4""]",False,False,False
pancreas_integrated,endothelial,42,24,1,1,"[""0.10""]","[""d1150c292e94762d2befd3c7c94696984ce7dc619fbf498dd3ae0c74b32a566b""]",False,False,False
pancreas_integrated,endothelial,42,243,1,1,"[""all""]","[""45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8""]",False,False,False
pancreas_integrated,endothelial,43,5,1,1,"[""0.01""]","[""9a03e5aff3d10f4f6336e98732ba34a9ace481ed3ad1159c938c4a1132b05be6""]",False,False,False
pancreas_integrated,endothelial,43,12,1,1,"[""0.05""]","[""8de3b551ba3e91401fb92abced14cee7f47afd3603fe84841be80fd3f4f340a6""]",False,False,False
pancreas_integrated,endothelial,43,24,1,1,"[""0.10""]","[""8623132c05cdb9f8444dc4147fa5f981585d45843359abe89382fcc9231b40b8""]",False,False,False
pancreas_integrated,endothelial,43,243,1,1,"[""all""]","[""45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8""]",False,False,False
pancreas_integrated,endothelial,44,5,1,1,"[""0.01""]","[""5a096829621975cb4e5f80d445af601df0463bdc488c46ef3fe7c9e15d792b4a""]",False,False,False
pancreas_integrated,endothelial,44,12,1,1,"[""0.05""]","[""00d3e6540e6ea3aa0be396c712ffab70e5b346b80054bf1151a23669a0d6609b""]",False,False,False
pancreas_integrated,endothelial,44,24,1,1,"[""0.10""]","[""9749e0aede85c354c2c1910e60f2ca93cd579894f18cecc5bcb9af574f15a62c""]",False,False,False
pancreas_integrated,endothelial,44,243,1,1,"[""all""]","[""45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,42,5,1,1,"[""0.01""]","[""87ea0921df73a49a8754e5e8e2dbde0834cf146418192ede2c5d950e8bd65c55""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,42,10,1,1,"[""0.05""]","[""dcd1961ab19527e4de74453b2c9bed36ce38cba107d5be40500d44ebf31874d4""]",False,False,False
