variant,abstain,abstain_reason,n_runs
adaptive_rank,False,rescue_applied,40
adaptive_rank,True,no_feasible_rank,12
adaptive_rank,True,sep<1.3,15
adaptive_rank,True,val baseline 零漏判稀有,17
adaptive_rank,True,val_missed=1 < MIN_VAL_MISSED=3,11
adaptive_rank,True,val_missed=2 < MIN_VAL_MISSED=3,1
baseline,False,baseline_no_rescue,96
fixed_rank_1,False,rescue_applied,52
fixed_rank_1,True,necessity,29
fixed_rank_1,True,sep<1.3,15
full_method,False,rescue_applied,40
full_method,True,no_feasible_rank,12
full_method,True,sep<1.3,15
full_method,True,val baseline 零漏判稀有,17
full_method,True,val_missed=1 < MIN_VAL_MISSED=3,11
full_method,True,val_missed=2 < MIN_VAL_MISSED=3,1
minus_conformal_tau,False,rescue_applied,39
minus_conformal_tau,True,necessity,29
minus_conformal_tau,True,no_feasible_rank,13
minus_conformal_tau,True,sep<1.3,15
minus_necessity_gate,False,rescue_applied,69
minus_necessity_gate,True,no_feasible_rank,12
minus_necessity_gate,True,sep<1.3,15
minus_separability_gate,False,rescue_applied,52
minus_separability_gate,True,necessity,31
minus_separability_gate,True,no_feasible_rank,13
rank_1,False,rescue_applied,52
rank_1,True,necessity,29
rank_1,True,sep<1.3,15
rank_2,False,rescue_applied,52
rank_2,True,necessity,29
rank_2,True,sep<1.3,15
rank_3,False,rescue_applied,52
rank_3,True,necessity,29
rank_3,True,sep<1.3,15
